184	185	164
436	416	415
35	15	14
330	310	309
287	307	308
372	373	352
199	198	219
292	291	312
271	270	291
160	161	140
171	192	172
50	70	71
69	68	89
33	32	53
146	126	125
19	18	39
74	53	73
136	135	156
59	38	58
243	223	222
228	229	208
184	164	163
334	335	314
229	250	230
335	315	314
270	250	249
354	374	375
438	417	437
395	416	396
433	412	432
348	368	369
374	354	353
413	412	433
395	415	416
274	254	253
369	390	370
133	153	154
316	296	295
44	45	24
25	46	26
6	26	27
46	67	47
111	91	90
86	65	85
1	22	2
46	47	26
213	212	233
212	191	211
88	89	68
173	152	172
92	113	93
170	149	169
171	172	151
151	172	152
257	256	277
129	128	149
300	279	299
306	305	326
155	135	134
199	220	200
288	309	289
112	133	113
138	137	158
221	242	222
157	156	177
54	34	33
8	7	28
92	72	71
48	47	68
27	28	7
73	93	94
10	31	11
11	32	12
9	29	30
10	30	31
115	136	116
84	104	105
13	34	14
121	120	141
12	33	13
35	34	55
12	32	33
36	57	37
143	123	122
60	39	59
18	17	38
59	79	80
77	76	97
15	35	36
57	77	78
78	77	98
179	158	178
143	142	163
137	116	136
186	165	185
82	83	62
229	209	208
187	186	207
222	202	201
247	226	246
206	185	205
202	182	181
118	98	97
162	141	161
163	164	143
183	162	182
120	121	100
119	118	139
161	141	140
178	158	157
160	140	139
222	223	202
181	161	160
368	347	367
372	392	393
329	350	330
204	225	205
310	289	309
268	248	247
270	249	269
227	206	226
308	288	287
311	290	310
231	251	252
314	293	313
293	292	313
376	375	396
251	272	252
251	250	271
333	332	353
355	335	334
415	395	394
375	355	354
334	354	355
333	313	312
377	356	376
378	377	398
417	416	437
398	418	419
397	396	417
374	373	394
353	354	333
415	414	435
415	394	414
327	326	347
328	329	308
392	371	391
351	352	331
412	392	391
393	394	373
390	391	370
390	411	391
277	276	297
408	429	409
348	349	328
350	329	349
409	410	389
411	432	412
286	265	285
225	226	205
245	224	244
201	181	180
262	282	283
346	347	326
242	241	262
298	318	319
328	327	348
322	343	323
174	173	194
255	276	256
196	175	195
234	235	214
297	298	277
214	235	215
363	384	364
323	302	322
299	320	300
345	365	366
339	318	338
361	382	362
318	317	338
361	362	341
407	386	406
323	343	344
400	380	379
404	383	403
